0   44021
0.5   52383

2.5   91402
3.0   124924
5   304744
5.5   1416695

#0   44021
#0.5   52383
#1.5   91402
#2.0   124924
#3   304744
#3.5   1416695
##4.5      116822
##5.0      1136363
